[0;0;1]	1001.0
[0;0;2]	1001.0
[0;0;3]	1001.0
[0;0;4]	1001.0
[0;0;5]	1001.0
[0;0;6]	1001.0
[0;0;7]	1001.0
[0;0;8]	1001.0
[0;0;9]	1001.0
[0;0;10]	1001.0
[0;0;11]	1001.0
[0;0;12]	1001.0
[0;1;-12]	856.0
[0;1;-11]	852.0
[0;1;-10]	844.0
[0;1;-9]	819.0
[0;1;-8]	887.0
[0;1;-7]	877.0
[0;1;-6]	897.0
[0;1;-5]	988.0
[0;1;-4]	1072.0
[0;1;-3]	1344.0
[0;1;-2]	1704.0
[0;1;-1]	3208.0
[0;1;0]	29159.0
[0;1;1]	3128.0
[0;1;2]	2206.0
[0;1;3]	1835.0
[0;1;4]	1751.0
[0;1;5]	1456.0
[0;1;6]	1374.0
[0;1;7]	1311.0
[0;1;8]	1379.0
[0;1;9]	1356.0
[0;1;10]	1318.0
[0;1;11]	1335.0
[0;1;12]	1281.0
[0;2;-12]	897.0
[0;2;-11]	953.0
[0;2;-10]	988.0
[0;2;-9]	1042.0
[0;2;-8]	1072.0
[0;2;-7]	1145.0
[0;2;-6]	1344.0
[0;2;-5]	1497.0
[0;2;-4]	1704.0
[0;2;-3]	2030.0
[0;2;-2]	3208.0
[0;2;-1]	4948.0
[0;2;0]	29159.0
[0;2;1]	7892.0
[0;2;2]	3128.0
[0;2;3]	2686.0
[0;2;4]	2206.0
[0;2;5]	2049.0
[0;2;6]	1835.0
[0;2;7]	1748.0
[0;2;8]	1751.0
[0;2;9]	1592.0
[0;2;10]	1456.0
[0;2;11]	1353.0
[0;2;12]	1374.0
[0;3;-12]	1072.0
[0;3;-11]	1081.0
[0;3;-10]	1180.0
[0;3;-9]	1344.0
[0;3;-8]	1466.0
[0;3;-7]	1556.0
[0;3;-6]	1704.0
[0;3;-5]	1914.0
[0;3;-4]	2342.0
[0;3;-3]	3208.0
[0;3;-2]	3955.0
[0;3;-1]	7206.0
[0;3;0]	29159.0
[0;3;1]	13375.0
[0;3;2]	5461.0
[0;3;3]	3128.0
[0;3;4]	2976.0
[0;3;5]	2718.0
[0;3;6]	2206.0
[0;3;7]	2160.0
[0;3;8]	1929.0
[0;3;9]	1835.0
[0;3;10]	1753.0
[0;3;11]	1735.0
[0;3;12]	1751.0
[0;4;-12]	1344.0
[0;4;-11]	1436.0
[0;4;-10]	1497.0
[0;4;-9]	1589.0
[0;4;-8]	1704.0
[0;4;-7]	1805.0
[0;4;-6]	2030.0
[0;4;-5]	2546.0
[0;4;-4]	3208.0
[0;4;-3]	3569.0
[0;4;-2]	4948.0
[0;4;-1]	8342.0
[0;4;0]	29159.0
[0;4;1]	16949.0
[0;4;2]	7892.0
[0;4;3]	4666.0
[0;4;4]	3128.0
[0;4;5]	3046.0
[0;4;6]	2686.0
[0;4;7]	2560.0
[0;4;8]	2206.0
[0;4;9]	2137.0
[0;4;10]	2049.0
[0;4;11]	1916.0
[0;4;12]	1835.0
[0;5;-12]	1528.0
[0;5;-11]	1650.0
[0;5;-10]	1704.0
[0;5;-9]	1746.0
[0;5;-8]	1988.0
[0;5;-7]	2238.0
[0;5;-6]	2665.0
[0;5;-5]	3208.0
[0;5;-4]	3510.0
[0;5;-3]	4041.0
[0;5;-2]	5895.0
[0;5;-1]	9701.0
[0;5;0]	29159.0
[0;5;1]	19670.0
[0;5;2]	11139.0
[0;5;3]	6370.0
[0;5;4]	4188.0
[0;5;5]	3128.0
[0;5;6]	2984.0
[0;5;7]	2858.0
[0;5;8]	2700.0
