  radius  	  theta   
0.5348366	4.4982371
0.5359257	4.5074873
0.2900538	1.0950196
0.5371507	4.5048693
0.5368247	4.5017277
0.9746502	4.7788598
0.5362402	4.5001569
0.5621496	4.1524874
0.5591216	4.1601668
0.4138047	6.2034238
0.7015089	5.1734875
0.3580518	5.4752549
0.2475676	4.9192280
0.7463277	0.9246754
0.2484939	4.9167845
0.5917518	1.4957472
0.7039858	0.7162831
0.2986261	3.2061175
0.2989208	3.2074090
0.2989683	3.2068156
0.3079650	3.1945459
0.3076020	3.1920152
0.3094656	3.1797456
0.3105561	3.2243213
0.3050628	3.1970592
0.7421241	1.1822860
0.7123718	1.6938438
0.5882342	4.5741589
0.6042031	4.5572292
0.2839143	0.7986627
0.2801459	0.8400270
0.2583476	3.2494889
0.9800077	1.0719812
0.4247323	3.9091885
0.4283630	3.8861501
0.3862690	0.4724606
0.4246293	3.9097121
0.4243615	3.9100611
0.3873725	0.4780457
0.4259896	3.9102357
0.3876737	0.4731588
0.4258040	3.9107593
0.6274204	6.1925853
0.7386654	2.2432368
0.3520967	3.6149259
0.3546883	3.6112608
0.3552287	3.6145769
0.3524303	3.6227799
0.3420841	1.2810717
0.3677302	0.6700319
0.4514543	4.1568507
0.4528207	4.1549308
0.4530310	4.1524874
0.4519586	4.1517892
0.4514438	4.1577233
0.4497745	4.1551054
0.4491346	4.1542327
0.4527891	4.1554544
0.4528207	4.1549308
0.4511182	4.1561525
0.3662449	0.6735226
0.4493024	4.1718605
0.3750787	0.6349508
0.4445387	4.1599923
0.5201235	5.5522240
0.4603716	5.4805433
0.2622425	1.7607580
0.2483920	1.8384949
0.5994362	5.2099998
0.9496780	3.2331003
0.2657991	1.8054733
0.6001482	5.2085861
0.2654161	1.8070790
0.2626902	1.7906031
0.3674330	4.4961427
0.5256798	5.1345667
0.5263483	5.1360153
0.5233431	5.1339209
0.5190152	5.1543936
0.5252344	5.1348459
0.4967307	0.9998991
0.5262369	5.1424381
0.5277979	5.1428744
0.4670516	0.9588839
0.4713106	0.9716248
0.5220098	5.1537478
0.5221208	5.1481977
0.5224541	5.1484595
0.5263483	5.1360327
0.5216767	5.1482850
0.5257912	5.1412338
0.9705576	4.7412061
0.3400286	3.4206708
0.3392986	3.4161329
0.3419963	3.4196236
0.3407589	3.4288738
0.3389093	3.4232888
0.3427373	3.4245105
0.6014784	1.7602518
0.8844142	4.3003167
0.4803543	1.7180864
0.5149234	5.7611922
0.5154756	5.7595342
0.5059033	1.2451179
0.5059033	5.7712628
0.4235997	4.2369613
0.4185654	4.2310272
0.4092840	4.2563344
0.4135083	4.2596506
0.7839592	1.0766936
0.2722376	4.0156535
0.5503230	0.7546804
0.5466903	0.7550294
0.5493002	0.7663741
0.2707009	4.0203659
0.5494138	0.7510152
0.5462370	0.7651523
0.2710756	4.0256019
0.2740756	4.0242057
0.2670889	4.0299652
0.2685572	4.0439279
0.9388490	4.3322563
0.2717408	4.0325832
0.2767044	4.0397391
0.5473706	0.1307426
0.4080924	5.2583803
0.3875733	5.2633545
0.5520638	2.9500079
0.4080924	5.2700391
0.5510167	2.9817030
0.2285806	3.0187738
0.2399772	3.0358257
0.2413713	3.0370649
0.2404018	3.0426150
0.2409280	3.0324921
0.2408173	3.0322129
0.2424798	3.0397352
0.7502346	4.1121703
0.7538551	4.1048399
0.5321573	5.2684334
0.6538832	0.8038987
0.9639364	0.2083923
0.9683570	0.2021091
0.2970775	1.9717683
0.2977424	1.9993270
0.7453906	4.1064107
0.5444481	4.6312312
0.2939178	2.0015261
0.2938704	1.9828511
0.2716378	1.9819610
0.2947902	1.9856436
0.5488459	5.2724826
0.6723522	0.8164650
0.2942781	2.0019799
0.2977994	1.9880347
0.2946290	1.9972152
0.5608296	6.0253653
0.3546097	5.7661839
0.4069731	0.3251548
0.3420451	2.3967908
0.2490778	2.6975983
0.2478177	2.7301836
0.2490499	2.6929209
0.2491334	2.6966035
0.2485125	2.6925543
0.2470398	2.6919260
0.2508580	2.7194848
0.2586548	3.2484592
0.5225652	5.2923444
0.5372294	2.9664663
0.5361054	2.9644068
0.5223430	5.2925015
0.5115497	2.9708645
0.5356561	2.9643545
0.5346682	2.9614747
0.6754866	1.7989109
0.5361841	2.9615794
0.3129019	5.9530737
0.5396383	2.9595025
0.5352294	2.9702362
0.5392102	2.9596246
0.6538832	1.1899655
0.3716483	3.2729810
0.4498375	0.0181689
0.3868106	3.2419316
0.3882761	3.2442878
0.3874328	3.2419316
0.6714529	1.7265879
0.3309411	3.6658896
0.3270822	3.6603045
0.3277876	3.6627480
0.3296441	3.6623989
0.4898949	0.5824164
0.5141508	0.5911430
0.3288510	3.6582101
0.3316383	3.6730454
0.4885971	0.5806710
0.3278359	3.6622244
0.3263675	3.6568138
0.5905741	6.2223955
0.3097717	3.3220597
0.3051010	3.3267721
0.3100969	3.3349751
0.5822943	3.5383060
0.3083472	3.3416074
0.9447112	2.5955664
0.8998985	2.5904351
0.9539192	2.5778688
0.9009414	2.5975386
0.9456199	2.5779386
0.9507574	2.5788112
0.2740569	4.3116614
0.2709351	4.3113123
0.9053939	2.5820226
0.3816929	4.1872194
0.3817329	4.1921063
0.3811631	4.1809362
0.3816329	4.1942007
0.3863492	4.1816344
0.4570970	0.8445648
0.9272266	5.3524187
0.3742428	4.2182863
0.6292462	1.1042698
0.1399624	3.0031008
0.4549887	0.1738173
0.5538186	2.2004064
0.4066171	4.5717154
0.7602800	1.1159635
0.5135993	2.1857631
0.5903858	4.4989352
0.5420295	2.2845662
0.5641611	4.9465249
0.3784570	1.8884463
0.5161385	5.6401886
0.5213437	5.6310430
0.3773999	1.8963526
0.5222319	5.6414801
0.3743721	1.8952007
0.3765427	1.8937521
0.3745413	1.8903661
0.3745413	1.8905406
0.3743721	1.8952007
0.3738349	1.8939266
0.5207889	5.6479553
0.3755168	1.8952879
0.5202344	5.6375357
0.5184615	5.6389668
0.8471919	0.9998991
0.7721911	0.9499827
0.2941833	1.8168528
0.2948945	1.8265743
0.6089662	5.5536028
0.6674215	4.9155279
0.3648995	2.8068909
0.2947238	1.8272026
0.2943824	1.8153868
0.2933490	1.8276041
0.2934154	1.8147235
0.2924678	1.8110234
0.7615201	1.4700908
0.3352747	0.8600983
0.6406339	0.4827581
0.8698844	4.3186427
0.5061225	5.9835995
0.3447181	0.8449139
0.3441324	0.8868018
0.7812856	5.4861109
0.7810046	0.7826056
0.3620542	1.7761518
0.4978191	5.3027641
0.3636343	1.7525724
0.3665320	1.7477029
0.5954929	4.6221555
0.4949911	5.3096581
0.3617778	1.7512459
0.3642964	1.7522058
0.3606532	1.7768848
0.3624688	1.7522757
0.3365663	1.7199609
0.3576384	1.7571800
0.4965131	5.3081746
0.9328251	5.5082417
0.9265128	3.5327209
0.1716697	1.8646749
0.8709274	1.1875220
0.1718943	1.8761591
0.9277623	3.5395277
0.9327598	3.5482544
0.1753194	1.8585837
0.1750316	1.8768747
0.1733592	1.8746407
0.1744380	1.8896680
0.9395389	3.5554102
0.9332822	3.5515705
0.9321562	3.5332445
0.8231938	2.7424708
0.2315485	4.5039967
0.3530386	5.0847201
0.2123924	4.5795694
0.9213042	2.9049609
0.6384820	3.1172802
0.9205945	2.9006500
0.5908096	5.4368228
0.4891377	0.5464626
0.8454096	1.1487757
0.8206788	0.2577851
0.3937089	4.9767715
0.3905876	4.9807159
0.3864696	4.9767191
0.3917950	4.9827405
0.3899842	4.9886921
0.3901853	4.9888666
0.3910906	4.9806635
0.7258761	4.8599775
0.4994536	5.6767881
0.3884769	4.9826358
0.3867705	4.9915544
0.6636439	0.8459611
0.7046385	4.8459014
0.9575761	2.9295701
0.3880752	4.9774696
0.9582789	1.6067553
0.9632295	1.6005088
0.3368578	2.5992665
0.3850660	4.9855156
0.5153651	0.0031067
0.3772703	6.1829161
0.9082405	5.2276625
0.6942419	0.6827728
0.9782130	2.2876554
0.2595488	5.6046013
0.8042649	2.0890718
0.9137338	3.7482691
0.3554941	4.7761459
0.4686471	1.3353514
0.6865103	5.9946126
0.4782509	4.5699701
0.3356631	1.5132005
0.3620937	1.5001105
0.3319774	1.5095353
0.3621924	1.4999360
0.3323650	1.5107570
0.3300408	1.5100589
0.3330435	1.5077899
0.4686364	4.5795694
0.3540204	1.5104079
0.3287833	1.5163421
0.3312025	1.5060446
0.4696053	4.5823620
0.4697971	4.5818384
0.3577565	1.4929546
0.3592337	1.5022049
0.3326557	1.5095353
0.4878946	4.5760788
0.4752841	4.5874234
0.4696053	4.5823620
0.4666583	4.5926594
0.3317836	1.5126769
0.3325588	1.5104079
0.4808484	4.5811402
0.3318805	1.5097098
0.4734988	4.5860271
0.5394581	5.2725699
0.9778715	0.0023387
0.9783326	0.0038223
0.9761147	6.2831853
0.9572248	6.2810036
0.9779227	0.0011345
0.9165881	2.6338938
0.3751584	2.6590440
0.3742229	2.6603705
0.3707051	2.6446451
0.8227254	0.7127925
0.3734570	2.6497065
0.3734769	2.6629187
0.7647513	4.5523423
0.8768838	3.7290705
0.8863913	5.1714106
0.8631464	3.7651988
0.8434961	4.4333108
0.7538688	3.6267942
0.8349887	3.5447637
0.8129678	5.5741628
0.8579214	3.5196310
0.9181148	1.1393509
0.3579435	3.2173574
0.5834635	4.4936992
0.6534348	2.6753279
0.2514610	1.5034266
0.2504406	1.4943509
0.5719871	4.4964918
0.2682298	1.4693927
0.2495134	1.4992378
0.2702889	1.4760249
0.2702889	1.4835299
0.2513682	1.4922565
0.2512754	1.4927801
0.5800062	4.5026004
0.2704762	1.4837044
0.2509971	1.4936528
0.2708508	1.4763740
0.2522034	1.4910348
0.2522034	1.4910348
0.2524819	1.4880677
0.2507188	1.4919074
