0 ; 0 ; 0.0000 ; 0.0000 ; 0.0000 ; 
0.02 ; 0 ; 0.0000 ; 0.0000 ; 0.0000 ; 
0.04 ; 0 ; 62.384 ; 63.358 ; 44.836 ; 
0.06 ; 0 ; 95.990 ; 43.690 ; 294.62 ; 
0.08 ; 0 ; 96.051 ; 43.320 ; 294.40 ; 
0.1 ; 0 ; 62.257 ; 63.167 ; 44.885 ; 
0.12 ; 0 ; 62.225 ; 63.262 ; 44.852 ; 
0.14 ; 0 ; 0.0000 ; 0.0000 ; 0.0000 ; 
0.16 ; 0 ; 18.059 ; 150.95 ; 308.94 ; 
0.18 ; 0 ; 48.465 ; 123.75 ; 241.04 ; 
0.2 ; 0 ; 18.449 ; 149.34 ; 308.54 ; 
0.22 ; 0 ; 18.464 ; 149.36 ; 308.55 ; 
0.24 ; 0 ; 18.651 ; 149.49 ; 308.77 ; 
0.26 ; 0 ; 48.846 ; 123.98 ; 241.41 ; 
0.28 ; 0 ; 48.846 ; 123.98 ; 241.41 ; 
0.3 ; 0 ; 0.0000 ; 0.0000 ; 0.0000 ; 
0.32 ; 0 ; 96.754 ; 35.136 ; 102.89 ; 
0.34 ; 0 ; 96.688 ; 34.959 ; 103.98 ; 
0.36 ; 0 ; 96.774 ; 34.878 ; 103.33 ; 
0.38 ; 0 ; 96.774 ; 34.878 ; 103.33 ; 
0.4 ; 0 ; 0.0000 ; 24.016 ; 66.526 ; 
0.42 ; 0 ; 57.104 ; 24.220 ; 65.782 ; 
0.44 ; 0 ; 57.104 ; 24.220 ; 65.782 ; 
0.46 ; 0 ; 57.151 ; 24.092 ; 65.740 ; 
0.48 ; 0 ; 0.0000 ; 0.0000 ; 0.0000 ; 
0.5 ; 0 ; 108.92 ; 41.663 ; 11.496 ; 
0.52 ; 0 ; 109.06 ; 41.757 ; 11.604 ; 
0.54 ; 0 ; 156.62 ; 44.598 ; 246.69 ; 
0.56 ; 0 ; 157.82 ; 44.291 ; 245.47 ; 
0.58 ; 0 ; 157.29 ; 44.786 ; 246.06 ; 
0.6 ; 0 ; 0.0000 ; 0.0000 ; 0.0000 ; 
0.62 ; 0 ; 124.62 ; 132.83 ; 66.951 ; 
0.64 ; 0 ; 156.56 ; 45.995 ; 67.861 ; 
0.66 ; 0 ; 156.45 ; 45.989 ; 66.634 ; 
0.68 ; 0 ; 155.93 ; 45.891 ; 66.496 ; 
0.7 ; 0 ; 155.93 ; 45.891 ; 66.496 ; 
