  radius  	  theta   
0.8943089	2.8526595
0.8897199	2.8587305
0.8894437	2.8522879
0.8907966	2.8572432
0.8911827	2.8543070
0.0620908	0.2739484
0.8920907	2.8532678
0.7361441	5.9137221
0.7313188	5.9277273
0.4164731	2.9495922
0.6620439	3.4485175
0.8852099	0.9122294
0.8959898	3.1382528
0.7095673	2.5994951
0.8953738	3.1353730
0.8922487	3.1293204
0.3847200	5.0207704
0.9786986	4.8097583
0.9798065	4.8092866
0.9795224	4.8091292
0.9747018	4.8030114
0.9736372	4.8021445
0.9669681	4.7996441
0.9834308	4.8194269
0.9760274	4.8039357
0.1692255	3.8056505
0.8890195	3.3054115
0.7432544	2.8351999
0.7401076	2.8252025
0.7549962	2.8486491
0.7649492	2.8730985
0.8472028	5.1258902
0.3880029	5.7622607
0.8723595	2.2058413
0.8849717	2.1983341
0.8737895	2.1928482
0.8720511	2.2059707
0.8727614	2.2069992
0.8740296	2.1975456
0.8731010	2.2082865
0.8697648	2.1979747
0.8728075	2.2083981
0.3094055	2.2641789
0.1539229	5.6070369
0.6047516	5.8964353
0.5989721	5.9024048
0.5989359	5.9041143
0.6022872	5.9108285
0.5831753	3.6704795
0.8463569	2.4391819
0.8433682	2.4345307
0.8396438	2.4293184
0.8421435	2.4296629
0.8424848	2.4287800
0.8443675	2.4364696
0.8469394	2.4357674
0.8446406	2.4320963
0.8408668	2.4311382
0.8396438	2.4293184
0.8414505	2.4315973
0.8438364	2.4473916
0.8299211	2.4337443
0.8241908	2.4305062
0.8371112	2.4271797
0.3161090	2.4680423
0.3715312	2.4586003
0.6729561	5.6667944
0.6778702	5.6982945
0.8807974	3.5711386
0.1009818	1.4063618
0.8868278	3.5883296
0.8819628	3.5706087
0.8884757	3.5869451
0.8843334	3.5815431
0.5149703	0.7806285
0.5326426	3.0826017
0.5329870	3.0858227
0.5333264	3.0790556
0.5373199	3.0989789
0.5339958	3.0844755
0.5346937	3.1015988
0.5332026	3.0924283
0.5320699	3.0936065
0.5324517	3.1278962
0.5377009	3.1194025
0.5359099	3.1011016
0.5370025	3.0976665
0.5369287	3.0983796
0.5329870	3.0858402
0.5372102	3.0973436
0.5334094	3.0908084
0.0632139	0.2665157
0.7496782	1.4602086
0.7514885	1.4580959
0.7480555	1.4589923
0.7479753	1.4661985
0.7498373	1.4614280
0.7478094	1.4645254
0.3675242	5.7984194
0.2753535	2.5213725
0.5719162	3.7793759
0.5764595	3.7643815
0.5769097	3.7642654
0.6981084	5.6841065
0.5781400	3.7632590
0.6154465	2.1554199
0.6146010	2.1380398
0.6203117	2.1569409
0.6173563	2.1624407
0.7208160	5.7070749
0.9554711	2.3672930
0.9465842	2.3602717
0.9500883	2.3586782
0.9504115	2.3695167
0.9534358	2.3678281
0.9492159	2.3549466
0.9515215	2.3678818
0.9511204	2.3690204
0.9479691	2.3630868
0.9503252	2.3704362
0.9448902	2.3749944
0.2373825	2.6356253
0.9494285	2.3731961
0.9569887	2.3954939
0.5319098	4.3972634
0.6221953	1.0729805
0.6269411	1.1103480
0.6214416	1.0630043
0.6176061	1.0944330
0.6144939	1.0851602
0.8845976	4.8472615
0.8727633	4.8779862
0.8730877	4.8766628
0.8743939	4.8803951
0.8711265	4.8772657
0.8713782	4.8765392
0.8717839	4.8809545
0.5983203	5.8399183
0.5857516	5.8368874
0.9389896	3.6551993
0.3571797	2.9386980
0.1182875	1.9329127
0.1177701	1.9079592
0.9276539	3.6581677
0.9343068	3.6743858
0.5937278	5.8404739
0.7549976	0.1038871
0.9382126	3.6716777
0.9355484	3.6574747
0.9375696	3.6629594
0.9372752	3.6570034
0.9294026	3.6550216
0.3562017	2.9101777
0.9404354	3.6682892
0.9399265	3.6538286
0.9404927	3.6632936
0.2918641	2.5920363
0.7735962	3.8697357
0.7226095	2.2417299
0.6119101	0.1054558
0.7801728	4.7601998
0.7912612	4.7648686
0.7824041	4.7493122
0.7804234	4.7583627
0.7815635	4.7526056
0.7827886	4.7520936
0.7842472	4.7664730
0.5890283	0.0922988
0.3587141	1.5860266
0.9403464	1.3549101
0.9402904	1.3526561
0.3588200	1.5867558
0.9288867	1.3467599
0.9397567	1.3521628
0.9378659	1.3477960
0.2688364	4.1373355
0.9374164	1.3477998
0.9314010	1.3433918
0.9346173	1.3442509
0.9327716	1.3529963
0.9348223	1.3444535
0.2406570	4.8734032
0.9494661	1.6419933
0.9628334	1.6225592
0.9632286	1.6299324
0.9611221	1.6301009
0.9617712	1.6283584
0.2509747	5.5704729
0.9598868	5.2918087
0.9674295	5.2763276
0.9612896	5.2873350
0.9565819	5.2932633
0.9671346	5.2688763
0.9649947	5.2780321
0.9599773	5.2844378
0.9618231	5.2961097
0.9691471	5.2686394
0.9611362	5.2870192
0.9638491	5.2780440
0.4938324	4.2158428
0.9706098	4.9364054
0.9770997	4.9320096
0.9753867	4.9421022
0.5804475	1.6373867
0.9857626	4.9334477
0.5246117	4.2056829
0.5770540	0.9585301
0.5786967	0.9799486
0.5723975	0.9653262
0.5784160	0.9749567
0.5822299	0.9793344
0.5757871	0.9673018
0.5796786	0.9660258
0.5732385	0.9528956
0.9123587	2.5134505
0.9097063	2.5150620
0.9166913	2.5123346
0.9085618	2.5156952
0.9048158	2.5003039
0.9083560	2.4987586
0.2626189	0.7744941
0.8957945	2.5204624
0.3715699	5.2262433
0.9811364	1.3655519
0.4855261	2.5003985
0.9339867	3.8139946
0.4454647	1.8240798
0.5610463	2.8570500
0.9376056	3.8027833
0.2953152	1.9071197
0.5979414	4.2129084
0.5746932	0.5938982
0.7254148	3.8378578
0.7312945	3.8413798
0.7314851	3.8364362
0.7262644	3.8457452
0.7289998	3.8449977
0.7276034	3.8464821
0.7248120	3.8469360
0.7270310	3.8424307
0.7271123	3.8424599
0.7276034	3.8464821
0.7269776	3.8470916
0.7260866	3.8473370
0.7261377	3.8475637
0.7291127	3.8396285
0.7251361	3.8355196
0.0927356	4.6139126
0.2689081	2.9885694
0.7533469	3.8495210
0.7559557	3.8516120
0.7523990	3.8332984
0.5638993	0.4570908
0.5664491	0.4436928
0.7563984	3.8515284
0.7539493	3.8462145
0.7564052	3.8546332
0.7534440	3.8487081
0.7520151	3.8503898
0.8957696	3.0713134
0.6044672	3.1991094
0.2822137	2.9021265
0.3193489	2.5499307
0.7741964	1.4625027
0.5880637	3.2064883
0.5947263	3.2273670
0.2417795	1.2806215
0.1247328	4.0955081
0.8193400	3.5900238
0.8084662	3.5694143
0.8099255	3.5795698
0.8078629	3.5751787
0.5020535	0.3252667
0.8177272	3.5837427
0.8112417	3.5779353
0.8113003	3.5764497
0.8198391	3.5912386
0.8104476	3.5795557
0.8107258	3.5729239
0.8112762	3.5877516
0.8082932	3.5739411
0.4855646	0.8506465
0.6969820	5.1317046
0.7090877	5.1403993
0.1173787	5.2782116
0.7082685	5.1352688
0.6978592	5.1379120
0.6892472	5.1455821
0.7036324	5.1285318
0.7036339	5.1325328
0.7060030	5.1285012
0.7042163	5.1347206
0.6857794	5.1503108
0.6923217	5.1483555
0.6975069	5.1299248
0.1140474	5.3240009
0.6244071	1.3060661
0.5134812	1.4672941
0.7999476	2.4783055
0.6531926	1.2981441
0.8004309	4.7923795
0.6527165	1.2934276
0.4643464	3.3820665
0.4078222	3.0359935
0.8665542	5.8369131
0.8376137	4.9347350
0.8162022	3.1847299
0.8149843	3.1845232
0.8128974	3.1742470
0.8150761	3.1876365
0.8163302	3.1938954
0.8162656	3.1941395
0.8184796	3.1897214
0.5072485	0.3884874
0.9822155	0.9778832
0.8184449	3.1895973
0.8164127	3.1943041
0.5267062	5.2649701
0.5030732	0.4019413
0.2850169	1.2888243
0.8199170	3.1861703
0.1357322	3.3323101
0.1346482	3.3083598
0.5748383	5.0432098
0.8183963	3.1896974
0.4668371	2.2134178
0.4883287	2.5598344
0.7905039	3.6339940
0.2582859	2.9932592
0.4478706	3.8781135
0.9658942	0.9546107
0.5305808	3.8090748
0.6319409	5.3620113
0.8672645	3.0288553
0.8670627	3.0255969
0.5811625	1.5034195
0.9542672	6.1785358
0.9628371	6.1755002
0.9572549	6.1600442
0.9627762	6.1710529
0.9577810	6.1605488
0.9612855	6.1702708
0.9612992	6.1691270
0.9604597	6.1662887
0.9599131	6.1844459
0.9546197	6.1653728
0.9605503	6.1740968
0.9659174	6.1717998
0.9632196	6.1842709
0.9646349	6.1825082
0.9687280	6.1666070
0.9618780	6.1674478
0.9648211	6.1740241
0.9573775	6.1809049
0.9626822	6.1892039
0.9632196	6.1842709
0.9680162	6.1907082
0.9666764	6.1795891
0.9669281	6.1778012
0.9598968	6.1846707
0.9661244	6.1758716
0.9635497	6.1872538
0.7282984	3.4883097
0.5764002	1.5860984
0.5774426	1.5872631
0.5786265	1.5846941
0.5663817	1.5948390
0.5780279	1.5847911
0.2280729	0.8808522
0.9514046	1.0311444
0.9421144	1.0209671
0.9488163	1.0126558
0.1945360	2.7906632
0.9533644	1.0238387
0.9439353	1.0255668
0.4833427	0.0568383
0.5860835	5.3737294
0.1422804	0.8883141
0.2065896	1.8451219
0.0868694	1.0765460
0.2494541	5.7658482
0.4856675	5.2586855
0.4866848	3.8391250
0.4725503	5.2171970
0.2426513	5.6850928
0.6772433	1.1381943
0.9402224	6.0993642
0.3194770	0.4406355
0.9476106	6.1153662
0.9467919	6.1041962
0.9369070	6.1056552
0.9482441	6.0896725
0.9464433	6.1079529
0.9480754	6.0968111
0.9459997	6.1005356
0.9508908	6.1106325
0.9525346	6.1143542
0.9480398	6.1039402
0.9458852	6.1005783
0.9502425	6.1105902
0.9483176	6.0978202
0.9538076	6.1154812
0.9538076	6.1154812
0.9534249	6.1118768
0.9520858	6.1123665
0.9541121	6.1148737
0.6111566	3.8971497
0.2629142	0.7401630
0.9946113	2.8691566
0.9827022	2.8534340
0.9885731	2.8657410
0.9889206	2.8774901
0.9896313	2.8755912
0.9901960	2.8695365
0.9895770	2.8768200
0.9888422	2.8775091
0.9888422	2.8775091
0.9876610	2.8758774
0.9974879	6.0344844
0.7659332	5.7167750
0.5167522	2.8464582
0.9666387	5.4142353
0.9642831	5.4248115
0.3304890	3.8170339
0.9619292	5.4222028
0.9619292	5.4222028
0.6161230	3.8428697
0.9568793	5.4119782
0.9619292	5.4222028
0.6154810	3.8452455
0.6161230	3.8428697
0.9619292	5.4222028
0.6161230	3.8428697
0.6157471	3.8289664
0.6141734	3.8299330
0.6161230	3.8428697
0.9581864	5.4128098
0.5777180	3.6322706
0.8546827	4.0857458
0.8600063	4.1039839
0.8590279	4.0972931
0.8600614	4.1041222
0.8606359	4.1004064
0.4856463	0.6816588
0.8635106	4.0963213
0.8604282	4.1043803
0.8614314	4.1040254
0.8565971	4.0944893
0.8600416	4.1013881
0.6719281	6.2745430
0.5283630	5.5875259
0.6022453	3.8103157
0.5956378	3.8042120
0.5932830	3.8053008
0.6059322	3.8132300
0.1294014	1.1498962
0.9148058	1.5077447
0.7049106	0.4849072
0.7033558	0.4883215
0.7040298	0.4909908
0.7049542	0.5046253
0.7010863	0.5205152
0.7024879	0.5086359
0.7614920	4.4016638
0.4271829	4.8489596
0.9126644	1.6214697
0.9199632	1.6164987
0.9015908	1.7596237
0.2113170	0.9637484
0.7192228	2.5439742
0.7152653	2.5233565
0.7177842	2.5352734
0.7186481	2.5367627
0.7233305	2.5626147
0.7175844	2.5353806
0.7233305	2.5626147
0.7175989	2.5351265
0.7220621	2.5531953
0.7233341	2.5625727
0.7230996	2.5626666
0.7175731	2.5353820
0.7231960	2.5623735
0.7211417	2.5660913
0.7156033	2.5376483
0.7144816	2.5444446
0.2902477	1.3953481
0.2784182	4.7599326
0.4853994	3.8902708
0.5036211	3.9269771
0.4914003	3.8956685
0.5007814	3.9044965
0.4894942	3.8913134
0.4921013	3.8687533
0.4976782	3.9100319
0.7487833	4.6451032
0.7496432	6.1292623
0.4547076	3.3564415
0.8470625	5.7266299
0.6616925	5.4054709
0.7513942	6.1380762
0.8377198	5.7355447
0.8460985	5.7502055
0.8406386	5.7507711
0.8443632	5.7478009
0.8482367	5.7223739
0.8448614	5.7299567
0.8505387	5.7223367
0.8306845	4.1768753
0.8853245	2.8476681
0.8893438	2.8459178
0.8904859	2.8578664
0.8895719	2.8573763
0.8895719	2.8573763
0.8892163	2.8572952
0.8890122	2.8584457
0.8930105	2.8577777
0.8924628	2.8456163
0.8869454	2.8598469
0.8888944	2.8560371
0.8890765	2.8588813
0.8906332	2.8571381
0.8906332	2.8571381
0.8844692	2.8584811
0.8905784	2.8548982
0.8908709	2.8543727
0.8935669	2.8765079
0.5648371	4.3587570
0.6609029	6.0541583
0.8877266	3.1158440
0.9147701	3.1504703
0.9014939	3.1222721
0.6402857	2.1317537
0.9813312	4.8190761
0.9830653	4.8184313
0.9802840	4.8093303
0.9818196	4.8094601
0.9815686	4.7967960
0.9736659	4.7985527
0.9794321	4.8013011
0.5874143	4.9095216
0.6248331	6.0900843
0.8780657	5.8769258
0.7544497	2.8478181
0.7120920	5.0703001
0.3184845	1.3655746
0.7484685	2.8326506
0.8730235	3.9011671
0.7471864	2.8434361
0.7455394	2.8589129
0.8780249	2.1910373
0.8767916	2.2016785
0.8721285	2.2065786
0.8717233	2.2063952
0.8718871	2.2063576
0.8718871	2.2063576
0.8712213	2.2072192
0.8702007	2.2127198
0.4712356	2.8664716
0.4817894	2.8653008
0.8414351	2.2799641
0.8374619	2.2730458
0.8422615	2.2749455
0.8385489	2.2873917
0.8434146	2.2852993
0.6322156	3.9466597
0.3987120	5.6407149
0.8393074	2.4340181
0.8368518	2.4312041
0.8372182	2.4299299
0.8372182	2.4299299
0.8469394	2.4357674
0.8389812	2.4289552
0.8466910	2.4357385
0.8372206	2.4299268
0.8372182	2.4299299
0.8396438	2.4293184
0.8397809	2.4322713
0.8348663	2.4296351
0.8323929	2.4321819
0.8261368	2.4302871
0.3146249	0.3888502
0.6757355	5.6887733
0.1665063	0.3289877
0.8833947	3.5692339
0.8829712	3.5731781
0.8826991	3.5686237
0.8835114	3.5682044
0.8818680	3.5705945
0.8814957	3.5687625
0.3113142	2.8703589
0.5381799	3.0832646
0.5375413	3.0950394
0.5378257	3.1155697
0.5375522	3.1165858
0.5395249	3.1115008
0.5355023	3.1157604
0.5322392	3.1109003
0.5356918	3.1150161
0.5324336	3.1113229
0.5555210	0.5991370
0.5308675	3.0939571
0.5333577	3.0923609
0.5369156	3.0991486
0.5348672	3.1039567
0.5322484	3.1266829
0.5351743	3.1066070
0.5530767	5.0403511
0.7463279	1.4667067
0.7491335	1.4504896
0.7489700	1.4684710
0.7449337	1.4676433
0.7521862	1.4690825
0.7474341	1.4612768
0.7456358	1.4618571
0.7455274	1.4609075
0.8165572	0.4894419
0.9569356	1.4293969
0.5962750	5.3409132
0.2895135	2.8749146
0.6787585	4.8458937
0.6108745	2.1304922
0.6113335	2.1393436
0.3921743	6.2655758
0.3877339	6.2557171
0.9564058	2.3911986
0.9504755	2.3703994
0.9492290	2.3804138
0.9481956	2.3729969
0.9429086	2.3881292
0.3869212	4.4110108
0.9516558	2.3838750
0.9508193	2.3665637
0.9573447	2.3868473
0.9432180	2.3706015
